,GT,winner,point_est,std,recovered,n_sig_better,nc_low,nc_high,above_nc,dif_from_nc_sig,sub-01_data_rdm_oe_rel,sub-02_data_rdm_oe_rel,sub-03_data_rdm_oe_rel,sub-04_data_rdm_oe_rel,sub-05_data_rdm_oe_rel,sub-01_GT_roi_size,sub-02_GT_roi_size,sub-03_GT_roi_size,sub-04_GT_roi_size,sub-05_GT_roi_size,pattern_subset,pattern_subset_type,prec_type,snr_rel,perm_num,n_runs
0,V1_left_mean,V1_left_mean,0.663296784182947,0.18018335630246549,1,0,0.5204530486130347,0.6684933371765992,1,,,,,,,169,137,181,217,157,5,serial,instance-based,0.5,1,2
1,V1_left_mean,V1_left_mean,0.5571241304652133,0.19793657388858665,1,0,0.2811030654772878,0.571758272008257,1,,,,,,,169,137,181,217,157,5,random,instance-based,0.5,1,2
2,V1_left_mean,V1_left_mean,0.5983551471121962,0.08084310892776965,1,0,0.3326667193537577,0.6026307452302769,1,,,,,,,169,137,181,217,157,10,serial,instance-based,0.5,1,2
3,V1_left_mean,V1_left_mean,0.4300923865736142,0.0700244734900412,1,0,0.025156886339770552,0.4445306826684749,1,,,,,,,169,137,181,217,157,10,random,instance-based,0.5,1,2
4,V1_left_mean,V1_left_mean,0.5010550629410033,0.03828452577699444,1,19,0.13131166512444326,0.5056755076142535,1,,,,,,,169,137,181,217,157,25,serial,instance-based,0.5,1,2
5,V1_left_mean,V1_left_mean,0.48234883556549596,0.03329341337425919,1,19,0.0904966382456503,0.48499773150423103,1,,,,,,,169,137,181,217,157,25,random,instance-based,0.5,1,2
6,V1_left_mean,V1_left_mean,0.4699121689909792,0.022280913119028578,1,19,0.0584399402324389,0.4728072878499629,1,,,,,,,169,137,181,217,157,50,serial,instance-based,0.5,1,2
7,V1_left_mean,V1_left_mean,0.22401191082958952,0.2732084389238508,1,0,-0.2286139990275606,0.33727163530567716,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,5,serial,instance-based,0.5,1,4
8,V1_left_mean,V1_left_mean,0.33380935106210213,0.1650004128625627,1,0,-0.15510504938999808,0.3422148388669463,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,5,random,instance-based,0.5,1,4
9,V1_left_mean,V1_left_mean,0.4711163366230597,0.06707261595111541,1,0,0.10516016916457482,0.47910515380328456,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,10,serial,instance-based,0.5,1,4
10,V1_left_mean,V1_left_mean,0.6038824085666408,0.07023592358948726,1,13,0.3511703105915108,0.6110729617566073,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,10,random,instance-based,0.5,1,4
11,V1_left_mean,V1_left_mean,0.4830998444992061,0.035898156152438736,1,19,0.09215530469644927,0.4864350282708488,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,25,serial,instance-based,0.5,1,4
12,V1_left_mean,V1_left_mean,0.4608489890312113,0.031545308260082235,1,19,0.04741666385657149,0.46354492126292424,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,25,random,instance-based,0.5,1,4
13,V1_left_mean,V1_left_mean,0.4929432905465825,0.025522629997754755,1,19,0.1079004346054324,0.4948721586974532,1,,0.16450593902867058,-0.024653063160556626,-0.1706074951248445,0.0453391384214288,0.03353003543750769,169,137,181,217,157,50,serial,instance-based,0.5,1,4
14,V1_left_mean,V1_left_mean,0.2369810779109072,0.11567194591931573,1,0,-0.34736616227093947,0.2517490453825598,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,5,serial,instance-based,0.5,1,8
15,V1_left_mean,V1_left_mean,0.3821133235235353,0.10404739910811106,1,0,0.08519612022052771,0.3922807391220701,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,5,random,instance-based,0.5,1,8
16,V1_left_mean,V1_left_mean,0.4500758604738953,0.054722691586760436,1,0,0.07424901070358751,0.45833360710236626,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,10,serial,instance-based,0.5,1,8
17,V1_left_mean,V1_left_mean,0.548835113502985,0.09761259036535994,1,0,0.2648437774098138,0.5562550290948589,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,10,random,instance-based,0.5,1,8
18,V1_left_mean,V1_left_mean,0.5032995370896959,0.029682903099647405,1,19,0.1369814144174982,0.50539198146908,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,25,serial,instance-based,0.5,1,8
19,V1_left_mean,V1_left_mean,0.5593083012290027,0.03620593182142122,1,19,0.245494255605999,0.5609136931353008,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,25,random,instance-based,0.5,1,8
20,V1_left_mean,V1_left_mean,0.5677262543800271,0.02598474212933862,1,19,0.2580428303469899,0.5686060628598466,1,,0.026498545101078647,0.2774693055188346,-0.20718361650742917,0.1225013385634179,0.14414998871227852,169,137,181,217,157,50,serial,instance-based,0.5,1,8
21,V1_left_mean,V1_left_mean,0.4034887216938538,0.17980273737611618,1,0,0.010224251031189738,0.4203705698498313,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,5,serial,instance-based,0.5,1,16
22,V1_left_mean,V1_left_mean,0.7590984441690186,0.2284418891027467,1,0,0.639361781431525,0.7653888899295866,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,5,random,instance-based,0.5,1,16
23,V1_left_mean,V1_left_mean,0.5492355062177224,0.06663401068568549,1,0,0.2448285855101809,0.555847818930599,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,10,serial,instance-based,0.5,1,16
24,V1_left_mean,V1_left_mean,0.5711779683497807,0.10556594319404909,1,0,0.28821521222387236,0.5814954239688002,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,10,random,instance-based,0.5,1,16
25,V1_left_mean,V1_left_mean,0.596640735931962,0.043747504215917325,1,19,0.31720364094110515,0.5995590804041654,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,25,serial,instance-based,0.5,1,16
26,V1_left_mean,V1_left_mean,0.66759949672461,0.03616213398514895,1,19,0.4512767382085851,0.670542921961694,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,25,random,instance-based,0.5,1,16
27,V1_left_mean,V1_left_mean,0.6816962399541484,0.030833917149235772,1,19,0.47643895323208335,0.6849843066737845,1,,0.10018791925714776,0.2770639849687225,0.27541004951230774,0.2395011018305609,0.0643489636664412,169,137,181,217,157,50,serial,instance-based,0.5,1,16
28,V1_left_mean,V1_left_mean,0.7251504455220856,0.27704735700307404,1,0,0.49334019033420157,0.7279914439861161,1,,0.4684811507027883,0.46591606637328814,0.5020610315119639,0.6018954687340673,0.11832566371004583,169,137,181,217,157,5,serial,instance-based,0.5,1,32
29,V1_left_mean,V1_left_mean,0.5559350331487818,0.17008912260656833,1,0,0.27904992353451324,0.564561598094181,1,,0.4684811507027883,0.46591606637328814,0.5020610315119639,0.6018954687340673,0.11832566371004583,169,137,181,217,157,5,random,instance-based,0.5,1,32
30,V1_left_mean,V1_left_mean,0.7016966226673923,0.08036143924678724,1,0,0.5190756585054087,0.7076749867370961,1,,0.4684811507027883,0.46591606637328814,0.5020610315119639,0.6018954687340673,0.11832566371004583,169,137,181,217,157,10,serial,instance-based,0.5,1,32
31,V1_left_mean,V1_left_mean,0.6614869532234873,0.0926723720241458,1,0,0.4509134487791726,0.6688393261937599,1,,0.4684811507027883,0.46591606637328814,0.5020610315119639,0.6018954687340673,0.11832566371004583,169,137,181,217,157,10,random,instance-based,0.5,1,32
32,V1_left_mean,V1_left_mean,0.7391819843979818,0.03303331339853538,1,19,0.5817875673343951,0.7438866510068497,1,,0.4684811507027883,0.46591606637328814,0.5020610315119639,0.6018954687340673,0.11832566371004583,169,137,181,217,157,25,serial,instance-based,0.5,1,32
33,V1_left_mean,V1_left_mean,0.8032318211058651,0.04267140005483538,1,19,0.6931230506427211,0.8080578970889507,1,,0.4684811507027883,0.46591606637328814,0.5020610315119639,0.6018954687340673,0.11832566371004583,169,137,181,217,157,25,random,instance-based,0.5,1,32
34,V1_left_mean,V1_left_mean,0.7889497310720771,0.02133707657421139,1,19,0.6676828155852743,0.7935818667951721,1,,0.4684811507027883,0.46591606637328814,0.5020610315119639,0.6018954687340673,0.11832566371004583,169,137,181,217,157,50,serial,instance-based,0.5,1,32
35,V1_right_mean,V1_right_mean,0.5907522651963902,0.1304962047196729,1,0,0.41338076366592325,0.6103495610053037,1,,,,,,,181,166,186,203,190,5,serial,instance-based,0.5,1,2
36,V1_right_mean,V1_right_mean,0.11891439678740412,0.06263276700951798,1,0,-0.7323120216284058,0.16142208813970063,1,,,,,,,181,166,186,203,190,5,random,instance-based,0.5,1,2
37,V1_right_mean,V1_right_mean,0.5435297794340622,0.057302727529497714,1,0,0.2500065729781928,0.5494306214638774,1,,,,,,,181,166,186,203,190,10,serial,instance-based,0.5,1,2
38,V1_right_mean,V1_right_mean,0.4811222597435683,0.06600701753184506,1,0,0.11722648630730885,0.4860834084221831,1,,,,,,,181,166,186,203,190,10,random,instance-based,0.5,1,2
39,V1_right_mean,V1_right_mean,0.43088788606052525,0.03208306821676595,1,19,-0.01407604558254103,0.4385987320586985,1,,,,,,,181,166,186,203,190,25,serial,instance-based,0.5,1,2
40,V1_right_mean,V1_right_mean,0.5135319758910242,0.048839372727998126,1,19,0.15415602791396035,0.5175064932348491,1,,,,,,,181,166,186,203,190,25,random,instance-based,0.5,1,2
41,V1_right_mean,V1_right_mean,0.47067624771513134,0.03068821297355773,1,19,0.06253943984181631,0.47482793725320166,1,,,,,,,181,166,186,203,190,50,serial,instance-based,0.5,1,2
42,V1_right_mean,V1_right_mean,0.34718039251581395,0.1894848289223253,1,0,-0.10547405869743244,0.38369562703642374,1,,0.0868239487630854,-0.10953787634441495,0.04626376544929522,0.08175100782405602,0.09167031016273133,181,166,186,203,190,5,serial,instance-based,0.5,1,4
43,V1_right_mean,V1_right_mean,0.7609120788549883,0.06356475134270276,1,0,0.6630191470364873,0.7691916567800972,1,,0.0868239487630854,-0.10953787634441495,0.04626376544929522,0.08175100782405602,0.09167031016273133,181,166,186,203,190,5,random,instance-based,0.5,1,4
44,V1_right_mean,V1_right_mean,0.5361471126650209,0.0787951549289632,1,0,0.21503901550882926,0.5414323505552541,1,,0.0868239487630854,-0.10953787634441495,0.04626376544929522,0.08175100782405602,0.09167031016273133,181,166,186,203,190,10,serial,instance-based,0.5,1,4
45,V1_right_mean,V1_right_mean,0.4674740232000109,0.07215323196159631,1,0,0.08424559835486314,0.4733850358650977,1,,0.0868239487630854,-0.10953787634441495,0.04626376544929522,0.08175100782405602,0.09167031016273133,181,166,186,203,190,10,random,instance-based,0.5,1,4
46,V1_right_mean,V1_right_mean,0.48785882179842,0.0286682364748279,1,19,0.10763141930270281,0.4905674045844839,1,,0.0868239487630854,-0.10953787634441495,0.04626376544929522,0.08175100782405602,0.09167031016273133,181,166,186,203,190,25,serial,instance-based,0.5,1,4
47,V1_right_mean,V1_right_mean,0.5091688522882778,0.04437768245375737,1,19,0.1419573855620036,0.5115559023430987,1,,0.0868239487630854,-0.10953787634441495,0.04626376544929522,0.08175100782405602,0.09167031016273133,181,166,186,203,190,25,random,instance-based,0.5,1,4
48,V1_right_mean,V1_right_mean,0.48699084601931336,0.024644462413907366,1,19,0.09330211347282519,0.48802174040817237,1,,0.0868239487630854,-0.10953787634441495,0.04626376544929522,0.08175100782405602,0.09167031016273133,181,166,186,203,190,50,serial,instance-based,0.5,1,4
