,GT,winner,point_est,std,recovered,n_sig_better,nc_low,nc_high,above_nc,dif_from_nc_sig,sub-01_data_rdm_oe_rel,sub-02_data_rdm_oe_rel,sub-03_data_rdm_oe_rel,sub-04_data_rdm_oe_rel,sub-05_data_rdm_oe_rel,sub-01_GT_roi_size,sub-02_GT_roi_size,sub-03_GT_roi_size,sub-04_GT_roi_size,sub-05_GT_roi_size,comparison_method,pattern_subset,prec_type,snr_rel,perm_num,n_runs
0,V1_left,IT_left,0.3065035656772574,0.2699719726710785,0,0,0.3548620782667944,0.5993540145892269,0,,,,,,,169,137,181,217,157,cosine,5,instance-based,0.1,1,2
1,V1_left,PHA_right,-0.26557985451843963,0.06998510951982047,0,0,0.04906293920994578,0.4442831558666668,0,0.10768620992562195,,,,,,169,137,181,217,157,cosine,10,instance-based,0.1,1,2
2,V1_left,IT_right,0.0038724317512129143,0.06715067345794967,0,0,0.08002562329011217,0.48163734121499535,0,0.5208086769475813,,,,,,169,137,181,217,157,cosine,20,instance-based,0.1,1,2
3,V1_left,PHA_right,0.02842797909530309,0.06355308658845694,0,0,0.07501243799462946,0.48020833072758434,0,0.7350634563471603,,,,,,169,137,181,217,157,cosine,30,instance-based,0.1,1,2
4,V1_left,IT_left,-0.026570405551010073,0.049143855046573204,0,0,0.031134931307784917,0.460495195578056,0,0.5138827871597846,,,,,,169,137,181,217,157,cosine,50,instance-based,0.1,1,2
5,V1_left,IT_left,0.39781707125415106,0.03015519113393996,0,0,0.1457613218476657,0.45791629882766427,1,,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,5,instance-based,0.1,1,4
6,V1_left,IT_left,0.038106371675048524,0.147719637745278,0,0,-0.02666911115076624,0.42395115893594526,1,0.7663138105252907,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,10,instance-based,0.1,1,4
7,V1_left,MT+MST_right,0.11591860186415695,0.08318521540574018,0,0,0.008444326661732234,0.4463045326981021,1,0.2763327474941246,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,20,instance-based,0.1,1,4
8,V1_left,V1_left,0.18755857471547782,0.07540492254086859,1,0,0.06594497755788244,0.47570190381875954,1,0.001081475553276423,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,30,instance-based,0.1,1,4
9,V1_left,V1_left,0.13924578873371554,0.056233204307256035,1,0,0.02335688618827075,0.4564971751216038,1,0.00019620839165712667,0.0008117762551505622,-0.02639603032615579,-0.0772320817232552,-0.029615424049793074,0.017948812906834453,169,137,181,217,157,cosine,50,instance-based,0.1,1,4
10,V1_left,V1_left,0.049296491316106916,0.11029127573568591,1,0,-0.13080940386564235,0.3639726028741622,1,,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,5,instance-based,0.1,1,8
11,V1_left,IT_right,0.1425639426909608,0.10355826056608664,0,0,-0.15059997891770707,0.36772857817895965,1,0.008505896781823896,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,10,instance-based,0.1,1,8
12,V1_left,IT_left,0.11306379224828253,0.060902155725656465,0,0,-0.017294536474844035,0.4356557611209466,1,0.17323196798719054,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,20,instance-based,0.1,1,8
13,V1_left,VMV_right,0.09156372322101089,0.07201281262106654,0,0,0.013610296549713553,0.4503169830866752,1,0.39317746438910817,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,30,instance-based,0.1,1,8
14,V1_left,V1_left,0.0991655921460163,0.0614026312512892,1,0,0.01885298087929048,0.45466917166796167,1,0.17093441779603147,-0.010277777233409727,-0.01761932498645473,-0.04551878678974068,-0.015313526317112308,0.01455924349401219,169,137,181,217,157,cosine,50,instance-based,0.1,1,8
15,V1_left,PHA_right,0.17923203255612943,0.0812495379426567,0,0,-0.3679179610940743,0.27605246981579573,1,,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,5,instance-based,0.1,1,16
16,V1_left,V2_left,0.09903123315483868,0.10080541333484425,0,0,-0.09044299474611767,0.3948770047902733,1,0.0018829284938446378,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,10,instance-based,0.1,1,16
17,V1_left,IT_left,0.10543932703577845,0.11865935120451732,0,0,0.18079741660206697,0.526165429510828,0,0.1606745911758367,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,20,instance-based,0.1,1,16
18,V1_left,V3_left,0.10987077509607726,0.08003634506741883,0,0,0.09598846904364855,0.4868277380920689,1,0.9908351626063652,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,30,instance-based,0.1,1,16
19,V1_left,V3_left,0.08836717888493377,0.06392411979919171,0,0,0.0570446047542829,0.4712848802263119,1,0.7126771036759345,0.11627570341487202,-0.09946968115564307,0.06538297364053715,-0.0015399966373928731,0.017278179454156894,169,137,181,217,157,cosine,50,instance-based,0.1,1,16
20,V1_left,IT_left,0.2325219735823692,0.13761520273741912,0,0,-0.021454474939248448,0.36227107053952345,1,,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,5,instance-based,0.1,1,32
21,V1_left,V1_left,0.19127585509444459,0.14838927216139267,1,0,0.1489017855918059,0.5045309245884081,1,0.2001389613736524,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,10,instance-based,0.1,1,32
22,V1_left,V3_left,0.1081578003034421,0.11992844499669729,0,0,0.03778820977491295,0.4630368484697416,1,,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,20,instance-based,0.1,1,32
23,V1_left,V3_left,0.2588888723752287,0.09810091149357054,0,0,0.2213945719311879,0.5514476120173049,1,,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,30,instance-based,0.1,1,32
24,V1_left,V3_left,0.17524333606905393,0.07334372987921697,0,0,0.10307384822279642,0.49439062682411855,1,,0.13408045398821086,-0.13475422247828112,0.13201836963592292,-0.062266988132273784,-0.1358734869366264,169,137,181,217,157,cosine,50,instance-based,0.1,1,32
25,V1_left,MT+MST_right,0.3010743441435925,0.25165976630104225,0,0,0.11463562607516091,0.5021766856746098,1,,,,,,,169,137,181,217,157,cosine,5,instance-based,0.1,2,2
26,V1_left,V1_right,0.15061878359604794,0.12432402966385543,0,0,-0.0048359344884629386,0.4383123661169257,1,0.10041421177708587,,,,,,169,137,181,217,157,cosine,10,instance-based,0.1,2,2
27,V1_left,PHA_left,0.029642700288168903,0.10034995251558372,0,0,0.14954957100107236,0.5144304040219518,0,0.25396196800151305,,,,,,169,137,181,217,157,cosine,20,instance-based,0.1,2,2
